foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
EPPLER 502 AIRFOIL.dat,0.0,5.0,1,1,,9,90.1,0.1304675497948522,0.00483465912417329,67.42133238250803,,
EPPLER 502 AIRFOIL.dat,2.0,5.0,1,1,,8,85.8,0.36425299123833815,0.005004047621997836,67.49306510727169,,
EPPLER 502 AIRFOIL.dat,4.0,5.0,1,1,,23,189.8,0.5831663311278943,0.00626251484900118,68.56366961728438,,
EPPLER 502 AIRFOIL.dat,6.0,5.0,1,1,,25,208.9,0.776544222616563,0.009162781875858656,71.99909872139109,,
EPPLER 502 AIRFOIL.dat,8.0,5.0,0,0,nan_lock,100,132.8,,,,1,1
EPPLER 502 AIRFOIL.dat,-4.0,9.0,0,0,nan_lock,100,293.3,,,,1,0
EPPLER 502 AIRFOIL.dat,-2.0,9.0,1,1,,20,168.4,-0.10360785409435455,0.0047976674251209595,67.45743160454323,,
EPPLER 502 AIRFOIL.dat,0.0,9.0,1,1,,10,99.9,0.1302272527759277,0.005008317663718674,67.57726633294335,,
EPPLER 502 AIRFOIL.dat,2.0,9.0,1,1,,6,68.7,0.3652509402493525,0.005024773156280697,67.51357731491932,,
EPPLER 502 AIRFOIL.dat,4.0,9.0,0,0,transition_front_oscillation,100,438.7,,,,1,1
EPPLER 502 AIRFOIL.dat,6.0,9.0,0,0,no_convergence,100,448.0,,,,1,1
EPPLER 502 AIRFOIL.dat,8.0,9.0,0,0,transition_front_oscillation,100,437.8,,,,1,1
EPPLER 582 AIRFOIL.dat,-4.0,5.0,1,1,,5,82.2,0.12426506249132582,0.007859629280824728,69.35450493941173,,
EPPLER 582 AIRFOIL.dat,-2.0,5.0,1,1,,7,87.0,0.3528549216638551,0.0069137564744231874,69.02333394731878,,
EPPLER 582 AIRFOIL.dat,0.0,5.0,1,1,,6,65.1,0.5874183698287934,0.005103384226277572,68.96919623503445,,
EPPLER 582 AIRFOIL.dat,2.0,5.0,1,1,,6,69.3,0.8150229079100719,0.005796993103421443,70.04157188507875,,
EPPLER 582 AIRFOIL.dat,4.0,5.0,1,1,,16,138.4,1.0299614385579816,0.007133009796989213,71.78301636338529,,
EPPLER 582 AIRFOIL.dat,6.0,5.0,1,1,,35,268.0,1.2208089008295373,0.009534902660829873,75.04052351755067,,
EPPLER 582 AIRFOIL.dat,8.0,5.0,1,1,,39,304.6,1.367247431371865,0.013009070318395937,82.43003381607521,,
EPPLER 582 AIRFOIL.dat,-4.0,9.0,1,1,,25,203.3,0.12721056110031892,0.007866848122976961,69.2543129026959,,
EPPLER 582 AIRFOIL.dat,-2.0,9.0,1,1,,10,109.3,0.3554882686041507,0.00633248959676845,68.64319441755521,,
EPPLER 582 AIRFOIL.dat,0.0,9.0,1,1,,14,124.0,0.5912399917128695,0.004981860028068489,68.78260426543088,,
EPPLER 582 AIRFOIL.dat,2.0,9.0,1,1,,19,168.2,0.8206077176338352,0.005533394533462968,69.68011013402628,,
EPPLER 582 AIRFOIL.dat,4.0,9.0,1,1,,7,73.1,1.0446777300267354,0.006234688107792309,70.77897825247861,,
EPPLER 582 AIRFOIL.dat,6.0,9.0,1,1,,25,209.9,1.2475463934614714,0.008036404628174273,73.28290683210122,,
EPPLER 582 AIRFOIL.dat,8.0,9.0,0,0,no_convergence,100,435.9,,,,1,1
EPPLER 637 AIRFOIL.dat,-4.0,5.0,1,1,,5,78.4,-0.25377981047061055,0.009158606262196714,70.14325728295861,,
EPPLER 637 AIRFOIL.dat,-2.0,5.0,1,1,,36,323.0,-0.03411310958612091,0.008362427467179643,69.70714984519486,,
EPPLER 637 AIRFOIL.dat,0.0,5.0,0,0,transition_front_oscillation,100,494.3,,,,1,1
EPPLER 637 AIRFOIL.dat,2.0,5.0,1,1,,28,247.5,0.3724702166089984,0.0054420490690015545,68.52239672571342,,
EPPLER 637 AIRFOIL.dat,4.0,5.0,1,1,,28,242.8,0.6039466360763872,0.006105523022435258,66.11861497603013,,
EPPLER 637 AIRFOIL.dat,6.0,5.0,1,1,,10,99.7,0.8406837531934278,0.006836570250735662,66.55377853962581,,
EPPLER 637 AIRFOIL.dat,8.0,5.0,1,1,,6,73.1,1.0769505739983154,0.008034998103801065,67.33122089234858,,
EPPLER 637 AIRFOIL.dat,-4.0,9.0,1,1,,23,210.2,-0.24972374191350846,0.00936724929250741,70.09753291064288,,
EPPLER 637 AIRFOIL.dat,-2.0,9.0,1,1,,24,220.4,-0.03213118378183971,0.008263067497875606,69.67369682668364,,
EPPLER 637 AIRFOIL.dat,0.0,9.0,1,1,,38,332.0,0.18790508449372006,0.007673084038793925,69.2556328152984,,
EPPLER 637 AIRFOIL.dat,2.0,9.0,1,1,,28,250.8,0.3750298920389086,0.00551253052563438,86.40677830672671,,
EPPLER 637 AIRFOIL.dat,4.0,9.0,1,1,,45,397.7,0.6398906734670659,0.0062548964837482865,66.24541696819355,,
EPPLER 637 AIRFOIL.dat,6.0,9.0,1,1,,34,311.6,0.8893180080460464,0.006862419618505121,66.60492848721954,,
EPPLER 637 AIRFOIL.dat,8.0,9.0,1,1,,34,290.9,1.1336411605302883,0.007729402175498722,67.12257470342324,,
EPPLER 864 STRUT AIRFOIL.dat,-4.0,5.0,1,1,,39,432.1,-0.315570295623483,0.010751220917727048,82.90138455869483,,
EPPLER 864 STRUT AIRFOIL.dat,-2.0,5.0,0,0,nan_lock,100,185.5,,,,1,1
EPPLER 864 STRUT AIRFOIL.dat,0.0,5.0,1,1,,9,116.8,0.00034713532528003743,0.010385246115611127,73.54476968169189,,
EPPLER 864 STRUT AIRFOIL.dat,2.0,5.0,1,1,,55,483.3,0.13837395842871883,0.010371284634702448,75.02908597319363,,
EPPLER 864 STRUT AIRFOIL.dat,4.0,5.0,0,0,no_convergence,100,496.5,,,,1,1
EPPLER 864 STRUT AIRFOIL.dat,6.0,5.0,1,1,,28,254.7,0.502193357228407,0.011547861060347754,86.88720011136093,,
EPPLER 864 STRUT AIRFOIL.dat,8.0,5.0,1,1,,26,240.0,0.6834282982301358,0.013033826389804506,91.41346831896357,,
EPPLER 864 STRUT AIRFOIL.dat,-4.0,9.0,1,1,,48,444.6,-0.31274530442333254,0.01084193197351532,83.00742445075663,,
