foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,9.0,0.1,1,,8,1.1377931278088556,0.0166996260698222,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,9.0,0.2,1,,7,1.1377930726526788,0.0166996475178628,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,9.0,0.4,1,,7,1.1377930726526788,0.0166996475178628,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,9.0,0.8,1,,7,1.1377930726526788,0.0166996475178628,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,12.0,0.0,1,,8,1.1342975272953864,0.0176330223873669,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,12.0,0.1,1,,8,1.1342975272953864,0.0176330223873669,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,12.0,0.2,1,,9,1.1342976336310753,0.0176329987509624,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,12.0,0.4,1,,9,1.1342976336310753,0.0176329987509624,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,8.0,12.0,0.8,1,,8,1.1342975689480552,0.017633013134776,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,6.0,0.0,1,,8,1.3097789701170033,0.0240440314414094,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,6.0,0.1,1,,8,1.3097789701170033,0.0240440314414094,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,6.0,0.2,1,,8,1.3097789701170033,0.0240440314414094,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,6.0,0.4,1,,8,1.3097789701170033,0.0240440314414094,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,6.0,0.8,1,,8,1.3097789701170033,0.0240440314414094,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,9.0,0.0,1,,11,1.295592245324768,0.0267306635558739,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,9.0,0.1,1,,11,1.295592245324768,0.0267306635558739,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,9.0,0.2,1,,11,1.295592245324768,0.0267306635558739,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,9.0,0.4,1,,11,1.295592245324768,0.0267306635558739,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,9.0,0.8,1,,11,1.295592245324768,0.0267306635558739,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,12.0,0.0,1,,16,1.2872148872647615,0.0293037629362113,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,12.0,0.1,1,,16,1.2872148872647615,0.0293037629362113,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,12.0,0.2,1,,16,1.2872148872647615,0.0293037629362113,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,12.0,0.4,1,,16,1.2872148872647615,0.0293037629362113,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,10.0,12.0,0.8,1,,16,1.2872148872647615,0.0293037629362113,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,6.0,0.0,1,,25,1.3827026078670852,0.0382407249483392,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,6.0,0.1,1,,25,1.3827026078670852,0.0382407249483392,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,6.0,0.2,1,,25,1.3827026078670852,0.0382407249483392,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,6.0,0.4,1,,25,1.3827026078670852,0.0382407249483392,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,6.0,0.8,1,,25,1.3827026078670852,0.0382407249483392,
